,HAN__NA18544.final,HAN__NA18559.final,HAN__NA18596.final,HAN__NA18612.final,IBS__HG01500.final,IBS__HG01503.final,IBS__HG02224.final,IBS__HG02236.final,TSI__NA20754.final,TSI__NA20759.final,TSI__NA20766.final,TSI__NA20771.final
HAN__NA18544.final,0,37,55,46,41,39,42,41,44,56,41,43
HAN__NA18559.final,37,0,56,49,42,42,43,44,51,61,42,44
HAN__NA18596.final,55,56,0,39,36,37,35,38,43,53,36,41
HAN__NA18612.final,46,49,39,0,31,32,30,33,34,48,31,31
IBS__HG01500.final,41,42,36,31,0,13,13,14,21,41,12,18
IBS__HG01503.final,39,42,37,32,13,0,14,13,22,42,13,19
IBS__HG02224.final,42,43,35,30,13,14,0,15,18,42,13,19
IBS__HG02236.final,41,44,38,33,14,13,15,0,23,43,14,20
TSI__NA20754.final,44,51,43,34,21,22,18,23,0,46,21,23
TSI__NA20759.final,56,61,53,48,41,42,42,43,46,0,39,46
TSI__NA20766.final,41,42,36,31,12,13,13,14,21,39,0,18
TSI__NA20771.final,43,44,41,31,18,19,19,20,23,46,18,0
